s_no,title,body,industry,Region,source,time
282,Procurement of 0613-234022125008/03 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125008/03,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
283,Procurement of 0613-234022125008/04 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125008/04,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
284,Procurement of 0613-234022125008/02 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125008/02,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
285,Procurement of 0613-234022125008/01 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125008/01,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
286,Procurement of 0613-234022125006 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125006,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
287,Procurement of 1825-234A20232115 refer to the chinese(1),"1825-234A20232115,refer to the chinese",Health ,ChinaShanghai,Currency,10-24-2023
288,Procurement of 0613-234022125010/02 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125010/02,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
289,Procurement of 0613-234022125010/01 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125010/01,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
290,Procurement of 0613-234022125009/01 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125009/01,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
291,Procurement of 0613-234022125009/02 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125009/02,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
292,Procurement of 0650-234HYGJ00029 Jiningyiliaofazhanjituanyouxianzerengongsi Medical Equipment procurement project (the fourth batch)(1),"0650-234HYGJ00029,Jiningyiliaofazhanjituanyouxianzerengongsi Medical Equipment procurement project (the fourth batch)",Health ,ChinaShandong,Currency,10-24-2023
293,Procurement of 3108-23400050049A XX series engine production line technical transformation project (phase II) - crankshaft grinding machine transformation(1),"3108-23400050049A,XX series engine production line technical transformation project (phase II) - crankshaft grinding machine transformation","Manufacture of Railway, Ship ,Aerospace and Other Transport Equipment ",ChinaChongqing,Currency,10-24-2023
294,Procurement of 0613-234024104962 Film and television lighting equipment(2),"0613-234024104962,Film and television lighting equipment",Education ,ChinaShanghai,Currency,10-24-2023
295,Procurement of 0613-234024104963 Pan tilt auxiliary equipment(2),"0613-234024104963,Pan tilt auxiliary equipment",Education ,ChinaShanghai,Currency,10-24-2023
296,Procurement of 0613-234124104919 Flexible semiconductor display dielectric and packaging film preparation equipment(2),"0613-234124104919,Flexible semiconductor display dielectric and packaging film preparation equipment",Education ,ChinaShanghai,Currency,10-24-2023
297,Procurement of 0613-234124104913 Fully automatic high-throughput pathological tissue imaging instrument(2),"0613-234124104913,Fully automatic high-throughput pathological tissue imaging instrument",Education ,ChinaShanghai,Currency,10-24-2023
298,Procurement of 4197-234VISIONOX1/01 G5.5 AMOLED PRODUCT TECHNOLOGY UPGRADE AND EXPEND PROJECT(1),"4197-234VISIONOX1,G5.5 AMOLED PRODUCT TECHNOLOGY UPGRADE AND EXPEND PROJECT","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
299,Procurement of 0712-234032303069/01 China-korea Petrochemical 2023 refinery laboratory analysis instrument project(2),"0712-234032303069/01,China-korea Petrochemical 2023 refinery laboratory analysis instrument project","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaHubei,Currency,10-24-2023
300,Procurement of 0712-234032303069/02 China-korea Petrochemical 2023 refinery laboratory analysis instrument project(2),"0712-234032303069/02,China-korea Petrochemical 2023 refinery laboratory analysis instrument project","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaHubei,Currency,10-24-2023
301,Procurement of 0705-234023603821/02 Huahong Wuxi 12-Inch IC Manufacturing(2),"0705-234023603821/02,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
302,Procurement of 0705-234023603822 Huahong Wuxi 12-Inch IC Manufacturing(2),"0705-234023603822,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
303,Procurement of 0705-234023603821/01 Huahong Wuxi 12-Inch IC Manufacturing(2),"0705-234023603821/01,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
304,Procurement of 0705-234023603820 Huahong Wuxi 12-Inch IC Manufacturing(2),"0705-234023603820,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
305,Procurement of 1214-234010314HZN MEDICAL INSTRUMENT PURCHASING PROJECT(1),"1214-234010314HZN,MEDICAL INSTRUMENT PURCHASING PROJECT",Health ,ChinaJiangsu,Currency,10-24-2023
306,Procurement of 0729-234OIT572272 Advanced Low-Frequency Noise Analyzer(1),"0729-234OIT572272,Advanced Low-Frequency Noise Analyzer",Research and Experimental Development,ChinaBeijing,Currency,10-24-2023
307,Procurement of 0705-234023603819 Huahong Wuxi 12-Inch IC Manufacturing(2),"0705-234023603819,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
308,Procurement of 1250-234FJYS23004/01 Fujian Children's Hospital digital dermoscope procurement project(1),"1250-234FJYS23004/01,Fujian Children's Hospital digital dermoscope procurement project",Manufacture of Medicines,ChinaFujian,Currency,10-24-2023
309,Procurement of 1250-234FJYS23004/02 Fujian Children's Hospital digital dermoscope procurement project(1),"1250-234FJYS23004/02,Fujian Children's Hospital digital dermoscope procurement project",Manufacture of Medicines,ChinaFujian,Currency,10-24-2023
310,Procurement of 1473-2340GK01H054/ Wuxi Microelectronics Research Center probe test bench tender announcement,"1473-2340GK01H054/,Probe test bench",Manufacture of Measuring Instruments and Machinery ,ChinaJiangsu,Currency,10-24-2023
311,Procurement of 0613-234022125005/02 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125005/02,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
312,Procurement of 0613-234022125005/03 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125005/03,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
313,Procurement of 0613-234022125004/11 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125004/11,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
314,Procurement of 0613-234022125004/13 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125004/13,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
315,Procurement of 0613-234022125004/12 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125004/12,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
316,Procurement of 0613-234022125005/01 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125005/01,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
317,Procurement of 0613-234022125004/10 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125004/10,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
318,Procurement of 0613-234022125004/09 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125004/09,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
319,Procurement of 0613-234022125004/04 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125004/04,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
320,Procurement of 0613-234022125004/08 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125004/08,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
321,Procurement of 0613-234022125004/07 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125004/07,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
322,Procurement of 0613-234022125004/06 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125004/06,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
323,Procurement of 0613-234022125004/05 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125004/05,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
324,Procurement of 0613-234022125004/01 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125004/01,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
325,Procurement of 0613-234022125004/03 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125004/03,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
326,Procurement of 0613-234022125004/02 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125004/02,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
327,Procurement of 0613-234022125003/02 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125003/02,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
328,Procurement of 0613-234022125003/01 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022125003/01,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
329,Procurement of 0613-234022123754/09 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022123754/09,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
330,Procurement of 0712-234032303079/01 Dalian Institute High-end Special Oil Synthesis Technology Research and Development Platform Construction Project(2),"0712-234032303079/01,Dalian Institute High-end Special Oil Synthesis Technology Research and Development Platform Construction Project","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaLiaoning,Currency,10-24-2023
331,Procurement of 0613-234022123754/07 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022123754/07,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
332,Procurement of 0613-234022123754/08 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022123754/08,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
333,Procurement of 0613-234022123754/05 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022123754/05,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
334,Procurement of 0613-234022123754/06 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022123754/06,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
335,Procurement of 0613-234022123754/04 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022123754/04,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
336,Procurement of 0613-234022123754/03 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022123754/03,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
337,Procurement of 0613-234022123754/02 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022123754/02,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
338,Procurement of 0712-234042303044 Dalian Institute of Sinopec Key Laboratory of Biofuels and Biological Chemicals to improve the fermentation gas detection system(1),"0712-234042303044,Dalian Institute of Sinopec Key Laboratory of Biofuels and Biological Chemicals to improve the fermentation gas detection system","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaLiaoning,Currency,10-24-2023
339,Procurement of 0613-234022123754/01 Huahong Wuxi 12-Inch IC Manufacturing(2),"0613-234022123754/01,Huahong Wuxi 12-Inch IC Manufacturing","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
340,Procurement of 0704-2340JDCP2204 YINGKOU ONSHORE GAS PROCESSING TERMINAL EXTENSION PROJECT PROPANE COMPRESSOR SKIDS(1),"0704-2340JDCP2204,YINGKOU ONSHORE GAS PROCESSING TERMINAL EXTENSION PROJECT PROPANE  COMPRESSOR SKIDS",Petroleum and Natural Gas Extraction,ChinaTianjin,Currency,10-24-2023
341,"Procurement of 0736-234020230142 FAW Casting Co., Ltd. nonferrous casting machining project roughness profile detector equipment procurement(2)","0736-234020230142,FAW Casting Co., Ltd. nonferrous casting machining project roughness profile detector equipment procurement","Manufacture of Railway, Ship ,Aerospace and Other Transport Equipment ",ChinaJilin,Currency,10-24-2023
342,Procurement of 0644-23402023C279 East China Optoelectronic Integrated Device Research Institute Electroplating System Bidding Project(1),"0644-23402023C279,East China Optoelectronic Integrated Device Research Institute Electroplating System Bidding Project",Research and Experimental Development,ChinaAnhui,Currency,10-24-2023
343,"Procurement of 0712-234022303118 Microoxygen analyzer for Sinopec Qilu Petrochemical Co.,Ltd(1)","0712-234022303118,Microoxygen analyzer for Sinopec Qilu Petrochemical Co.,Ltd","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaShandong,Currency,10-24-2023
344,Procurement of 0712-234042303043 Dalian Institute special carbon material technology research and development equipment purchase differential scanning calorimeter(1),"0712-234042303043,Dalian Institute special carbon material technology research and development equipment purchase differential scanning calorimeter","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaLiaoning,Currency,10-24-2023
345,Procurement of 0655-2340NIT1034N/02 Procurement project for instruments and equipment such as ellipsometers at the Institute of Wide Band Gap Semiconductor Materials and Power Devices (1),"0655-2340NIT1034N/02,Procurement project for instruments and equipment such as ellipsometers at the Institute of Wide Band Gap Semiconductor ",Research and Experimental Development,ChinaZhejiang,Currency,10-24-2023
346,Procurement of 0655-2340NIT1034N/03 Procurement project for instruments and equipment such as ellipsometers at the Institute of Wide Band Gap Semiconductor Materials and Power Devices (1),"0655-2340NIT1034N/03,Procurement project for instruments and equipment such as ellipsometers at the Institute of Wide Band Gap Semiconductor ",Research and Experimental Development,ChinaZhejiang,Currency,10-24-2023
347,Procurement of 0655-2340NIT1034N/01 Procurement project for instruments and equipment such as ellipsometers at the Institute of Wide Band Gap Semiconductor Materials and Power Devices (1),"0655-2340NIT1034N/01,Procurement project for instruments and equipment such as ellipsometers at the Institute of Wide Band Gap Semiconductor ",Research and Experimental Development,ChinaZhejiang,Currency,10-24-2023
348,"Procurement of 0655-2340NIT1033N/04 Procurement project for instruments and equipment such as FIB-SEM at the Institute of Wide Band Gap Semiconductor Materials and Power Devices, Ningbo Research (1)","0655-2340NIT1033N/04,Procurement project for instruments and equipment such as FIB-SEM at the Institute of Wide Band Gap Semiconductor ",Research and Experimental Development,ChinaZhejiang,Currency,10-24-2023
349,"Procurement of 0655-2340NIT1033N/01 Procurement project for instruments and equipment such as FIB-SEM at the Institute of Wide Band Gap Semiconductor Materials and Power Devices, Ningbo Research (1)","0655-2340NIT1033N/01,Procurement project for instruments and equipment such as FIB-SEM at the Institute of Wide Band Gap Semiconductor ",Research and Experimental Development,ChinaZhejiang,Currency,10-24-2023
350,"Procurement of 0655-2340NIT1033N/06 Procurement project for instruments and equipment such as FIB-SEM at the Institute of Wide Band Gap Semiconductor Materials and Power Devices, Ningbo Research (1)","0655-2340NIT1033N/06,Procurement project for instruments and equipment such as FIB-SEM at the Institute of Wide Band Gap Semiconductor ",Research and Experimental Development,ChinaZhejiang,Currency,10-24-2023
351,"Procurement of 0655-2340NIT1033N/05 Procurement project for instruments and equipment such as FIB-SEM at the Institute of Wide Band Gap Semiconductor Materials and Power Devices, Ningbo Research (1)","0655-2340NIT1033N/05,Procurement project for instruments and equipment such as FIB-SEM at the Institute of Wide Band Gap Semiconductor ",Research and Experimental Development,ChinaZhejiang,Currency,10-24-2023
352,"Procurement of 0655-2340NIT1033N/03 Procurement project for instruments and equipment such as FIB-SEM at the Institute of Wide Band Gap Semiconductor Materials and Power Devices, Ningbo Research (1)","0655-2340NIT1033N/03,Procurement project for instruments and equipment such as FIB-SEM at the Institute of Wide Band Gap Semiconductor ",Research and Experimental Development,ChinaZhejiang,Currency,10-24-2023
353,"Procurement of 0655-2340NIT1033N/02 Procurement project for instruments and equipment such as FIB-SEM at the Institute of Wide Band Gap Semiconductor Materials and Power Devices, Ningbo Research (1)","0655-2340NIT1033N/02,Procurement project for instruments and equipment such as FIB-SEM at the Institute of Wide Band Gap Semiconductor ",Research and Experimental Development,ChinaZhejiang,Currency,10-24-2023
354,Procurement of 0730-234011SZ0321/03 NanTong SCC Project -Automatic Tearing machine (Rebid) (2),"0730-234011SZ0321/03,NanTong SCC Project -Automatic Tearing machine (Rebid) ","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-24-2023
355,"Procurement of 4197-2340SHJT0002/10 Construction Project of Special Process Production Line of GTA Semiconductor Co., Ltd(2)","4197-2340SHJT0002/10,Construction Project of Special Process Production Line of GTA Semiconductor Co., Ltd","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaShanghai,Currency,10-24-2023
356,Procurement of 4997-234hsy202306 Pyrolysis apparatus(1),"4997-234hsy202306,Pyrolysis apparatus",Research and Experimental Development,ChinaBeijing,Currency,10-24-2023
357,"Procurement of 0712-234032302084/03 Sinopec (Dalian) Petrochemical Research Institute Co., Ltd.-Sinopec Hydrogen Energy key laboratory to improve the project(2)","0712-234032302084/03,Sinopec (Dalian) Petrochemical Research Institute Co., Ltd.-Sinopec Hydrogen Energy key laboratory to improve the project","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaLiaoning,Currency,10-24-2023
358,Procurement of 0712-234012303043 BYPC- 2023 Reciprocating Machine Hazard Management Project Compressor condition monitoring system(1),"0712-234012303043,BYPC- 2023 Reciprocating Machine Hazard Management Project Compressor condition monitoring system","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaBeijing,Currency,10-24-2023
359,"Procurement of 1042-234HYJ671162 Anhui Aike Medical Technology Co., Ltd. purchase medical equipment project(1)","1042-234HYJ671162,Anhui Aike Medical Technology Co., Ltd. purchase medical equipment project(secondary)",Health ,ChinaAnhui,Currency,10-24-2023
360,"Procurement of 4197-2340SHJT0002/31 Construction Project of Special Process Production Line of GTA Semiconductor Co., Ltd(2)","4197-2340SHJT0002/31,Construction Project of Special Process Production Line of GTA Semiconductor Co., Ltd","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaShanghai,Currency,10-24-2023
361,"Procurement of 4197-2340SHJT0002/34 Construction Project of Special Process Production Line of GTA Semiconductor Co., Ltd(2)","4197-2340SHJT0002/34,Construction Project of Special Process Production Line of GTA Semiconductor Co., Ltd","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaShanghai,Currency,10-24-2023
362,Procurement of 0720-2340zbzx0227 H-EVA Plant(2),"0720-2340zbzx0227,H-EVA Plant","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaGuangxi,Currency,10-24-2023
363,Procurement of 0679-234DFHZBT055 Introduction of New Models of 3EA BEV Steering Knuckle - Three Coordinates(2),"0679-234DFHZBT055,Introduction of New Models of 3EA BEV Steering Knuckle - Three Coordinates","Manufacture of Railway, Ship ,Aerospace and Other Transport Equipment ",ChinaGuangdong,Currency,10-24-2023
364,Procurement of 0721-234036B47785 Air clutch of Lanxian Mining Co Ltd of TISCO(1),"0721-234036B47785,Air clutch of Lanxian Mining Co Ltd of TISCO",Ferrous Metals Mining and Dressing,ChinaShanxi,Currency,10-24-2023
365,Procurement of 0613-234025125177 Equipment Procurement Project of Changsha HKC Optoelectronics G8.6 TFT-LCD Array Nanometer(1),"0613-234025125177,Equipment Procurement Project of Changsha HKC Optoelectronics G8.6 TFT-LCD Array Nanometer",Manufacture of Special-purpose Machinery,ChinaHunan,Currency,10-24-2023
366,"Procurement of 3317-234202304028 Shanghai Tobacco Packaging and Printing Co., Ltd Offset press procurement project in 2023(2)","3317-234202304028,Shanghai Tobacco Packaging and Printing Co., Ltd Offset press procurement project in 2023",Others Services ,ChinaShanghai,Currency,10-24-2023
367, Procurement of 0811-234DSITC2275 Fully automated high-throughput screening system for myocardial cell functionality(1),"0811-234DSITC2275,Fully automated high-throughput screening system for myocardial cell functionality",Education ,ChinaShanghai,Currency,10-24-2023
368,"Procurement of 0716-234HNC961777 Zhuzhou Cemented Carbide Cutting Tools Co.,Ltd. CNC tool grinding machine (small diameter forming tool processing) procurement project(2)","0716-234HNC961777,Zhuzhou Cemented Carbide Cutting Tools Co.,Ltd. CNC tool grinding machine (small diameter forming tool processing) procurement",Manufacture of General-purpose Machinery,ChinaHunan,Currency,10-24-2023
369,Procurement of 0811-234DSITC2274 In vivo 256 channel electrophysiological signal amplification system(1),"0811-234DSITC2274,In vivo 256 channel electrophysiological signal amplification system",Education ,ChinaShanghai,Currency,10-24-2023
370,Procurement of 0811-234DSITC2273 Laser micro capture and separation system for cells and tissues(1),"0811-234DSITC2273,Laser micro capture and separation system for cells and tissues",Education ,ChinaShanghai,Currency,10-24-2023
371,"Procurement of 0716-234HNC961763 Zhuzhou Cemented Carbide Cutting Tools Co.,Ltd. CNC tool grinding machine (small diameter drilling tool processing) procurement project(2)","0716-234HNC961763,Zhuzhou Cemented Carbide Cutting Tools Co.,Ltd. CNC tool grinding machine (small diameter drilling tool processing) procurement ",Manufacture of General-purpose Machinery,ChinaHunan,Currency,10-24-2023
372,Procurement of 0628-234108104025/05 The People's Hospital of Ganjiang New Area has re bid for the introduction of ophthalmic super milk machine project(2),"0628-234108104025/05,The People's Hospital of Ganjiang New Area has re bid for the introduction of ophthalmic super milk machine project",Health ,ChinaJiangxi,Currency,10-24-2023
373,Procurement of 0628-234108104025/04 Re bidding for the introduction of ophthalmic glass cutting machine project by Ganjiang New Area People's Hospital(2),"0628-234108104025/04,Re bidding for the introduction of ophthalmic glass cutting machine project by Ganjiang New Area People's Hospital",Health ,ChinaJiangxi,Currency,10-24-2023
374,"Procurement of 0712-234032302084/04 Sinopec (Dalian) Petrochemical Research Institute Co., Ltd.-Sinopec Hydrogen Energy key laboratory to improve the project(2)","0712-234032302084/04,Sinopec (Dalian) Petrochemical Research Institute Co., Ltd.-Sinopec Hydrogen Energy key laboratory to improve the project","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaLiaoning,Currency,10-24-2023
375,"Procurement of 0705-234201018007 ICB PROCUREMENT OF Water Play Area (Water Feature) Design, Fabrication and installation(2)","0705-234201018007,ICB PROCUREMENT OF Water Play Area (Water Feature) Design, Fabrication and installation",Entertainment ,ChinaShanghai,Currency,10-24-2023
376,Procurement of 0811-234DSITC2755 Integrated operating room(1),"0811-234DSITC2755,Integrated operating room",Health ,ChinaShanghai,Currency,10-24-2023
377,Procurement of 0811-234DSITC2212 Ultra High Resolution Dual Channel Optical Mapping System(1),"0811-234DSITC2212,Ultra High Resolution Dual Channel Optical Mapping System",Education ,ChinaShanghai,Currency,10-24-2023
378,Procurement of 1447-234202323111 Shanghai University of Technology Friction and Wear Testing Machine Procurement Project(1),"1447-234202323111,Shanghai University of Technology Friction and Wear Testing Machine Procurement Project",Manufacture of Special-purpose Machinery,ChinaShanghai,Currency,10-24-2023
379,Procurement of 0811-234DSITC2211 Multifunctional slice scanning and analysis system(1),"0811-234DSITC2211,Multifunctional slice scanning and analysis system",Education ,ChinaShanghai,Currency,10-24-2023
380,"Procurement of 1042-234HYJ661137 Ruilong Automotive Power Co., LTD. 2023 new purchase of CNC tool grinding machine project(2)","1042-234HYJ661137,Ruilong Automotive Power Co., LTD. 2023 new purchase of CNC tool grinding machine project",Manufacture of Special-purpose Machinery,ChinaInner Mongoria,Currency,10-24-2023
381,Procurement of 0660-2340GMS93111/03 Side Encapsulation Oven Equipment(2),"0660-2340GMS93111/03,Side Encapsulation Oven Equipment","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaSichuan,Currency,10-24-2023
382,Procurement of 0660-2340GMT23177 Yangzhou Taizhou AirPort Phase II expansion project ATC equipment procurement(2),"0660-2340GMT23177,Yangzhou Taizhou AirPort Phase II expansion project ATC equipment procurement",Water Transport,ChinaJiangsu,Currency,10-24-2023
383,Procurement of 1447-234202323101 refer to Chinese(1),"1447-234202323101,refer to Chinese",Manufacture of Special-purpose Machinery,ChinaShanghai,Currency,10-24-2023
384,Procurement of 0613-234123074709 Endoscopic surgical instrument control system(2),"0613-234123074709,Endoscopic surgical instrument control system",Health ,ChinaShanghai,Currency,10-24-2023
385,"Procurement of 0646-234HNGLI0485 CNC floor boring and milling machining center of Hunan Aerospace Huanyu Communication Technology Co., Ltd(2)","0646-234HNGLI0485,CNC floor boring and milling machining center of Hunan Aerospace Huanyu Communication Technology Co., Ltd",Manufacture of Electrical Machinery and Apparatus ,ChinaHunan,Currency,10-24-2023
386,Procurement of 0811-234DSITC2210 White laser fluorescence ultra-high resolution confocal microscope system(1),"0811-234DSITC2210,White laser fluorescence ultra-high resolution confocal microscope system",Education ,ChinaShanghai,Currency,10-24-2023
387,Procurement of 1013-234zzgjzb086 4K multifunctional thoracic laparoscope procurement project(1),"1013-234zzgjzb086,4K multifunctional thoracic laparoscope procurement project",Health ,ChinaHeilongjiang,Currency,10-24-2023
